	WT_1	WT_2	XistKO_1	XistKO_2
Cd22	9	18	20	15
Mbl1	0	0	0	0
Snhg4	2511	2620	4127	2935
Zfand4	411	433	511	572
Hdgfl3	10107	10299	5776	5728
Kcnd3os	0	0	0	0
Gm7056	0	0	0	0
E330023G01Rik	33	40	36	33
4930484H19Rik	0	0	0	0
Gm19689	0	0	0	0
Gm9920	0	0	0	0
Dxo	16	9	10	5
Cela1	21	16	28	5
Sncb	0	0	0	0
Vps37d	7	3	5	2
Slc44a1	821	822	615	443
Bsdc1	222	234	395	409
Lrrk1	177	131	109	78
Ipo13	21	20	25	10
Bcdin3d	36	42	90	23
Klhl24	1847	1887	2784	2556
Bcl2l12	30	16	39	12
Cyp4f18	0	0	0	0
Agk	494	500	507	399
Akt1s1	30	18	21	16
Dnah10	2	2	0	0
Cnn2	2191	2011	2057	1045
2610042L04Rik	43	52	2	3
4930578N18Rik	0	0	0	0
Npat	15158	16474	16733	15980
2310010J17Rik	72	85	69	42
A630019I02Rik	0	0	0	0
Tspan2os	0	0	0	0
Vmn2r104	0	0	0	0
Vmn2r103	0	0	0	0
Vmn2r102	0	0	0	0
Plcb1	452	503	587	585
Abca6	11	12	13	7
Vmn1r19	0	0	0	0
Vmn1r18	0	0	0	0
Vmn1r28	0	0	0	0
Mnat1	2160	2280	2950	2074
C130083M11Rik	0	1	2	0
Galc	473	438	600	477
Ndc1	3846	3787	6392	4772
Ssr3	90537	90863	89907	80559
Ankrd33b	3	12	6	5
4921536K21Rik	0	3	3	1
Slc6a14	0	0	1	1
Tmem178	0	0	0	0
Piwil2	34	33	51	53
Cfap45	0	0	0	0
Bdh1	11	11	12	14
D630023F18Rik	3	13	12	20
Pafah2	116	103	232	120
Bfar	1259	1088	1336	1039
Tm2d3	78	86	112	38
Erc1	1673	1602	1803	1174
Spidr	2055	2152	3316	2729
Actbl2	0	0	0	0
Gpr150	0	1	0	0
Nup188	701	582	745	375
Ankrd33	0	0	0	0
Pknox2	127	85	8	6
Rbm12b2	4666	5664	6833	6654
Tpd52l1	95	70	87	85
Senp2	4158	4162	5136	3638
Fam53c	527	429	571	422
Myoz2	0	0	1	0
Zfp146	5759	5863	6879	6387
Apoa4	0	0	0	0
Klra5	40	51	28	49
Trpc4ap	1359	1300	1675	1168
Kcnk3	5	7	4	3
Kcnk2	499	453	770	673
Batf	0	0	0	0
Mcrs1	20	19	42	7
Mir6996	0	0	0	0
Zbtb24	611	670	756	653
Chil1	0	0	0	0
Chgb	0	2	1	0
Chga	0	0	0	0
Nat1	0	0	0	0
Bcl6b	35	21	0	0
Bax	52	81	130	48
Nap1l2	136	135	10	11
Cfl2	25495	24387	26059	25169
Cfl1	25271	25559	40163	13106
Cfi	0	0	0	0
Pcf11	9168	9146	11038	10956
Myct1	0	1	2	2
Esyt2	21706	21848	23653	20833
Slc22a21	49	44	54	28
Fam184b	3	1	0	0
Nav3	1444	1401	2177	1979
Mthfd2l	3596	3663	4297	4231
1110012L19Rik	109	37	134	46
Spertl	0	0	0	0
Nelfb	155	132	165	79
Fancf	886	773	1335	1254
B3glct	1620	1515	1391	1363
Mir7676-2	0	0	0	0
Defa17	0	0	0	0
Timm13	5	9	11	8
Fbxw4	19	34	43	6
Trim34a	41	45	15	11
Olfr724	0	0	0	0
Olfr1410	0	0	0	0
Zfp277	1896	1758	2035	1612
Nr0b1	0	0	0	0
Ly9	0	0	0	0
Adam2	0	0	0	0
Foxs1	0	1	3	0
Foxf2	109	111	393	336
Sapcd1	0	1	1	0
Slc12a9	6	6	9	2
Slc6a11	0	0	0	0
Wrnip1	2773	3383	6096	5312
Pdss2	379	328	383	286
Kdm5a	8012	7642	9013	7921
4833418N02Rik	41	40	64	70
Olfr54	0	0	0	0
Gpr33	0	0	0	0
Cyp4v3	592	583	365	310
Insyn2b	0	0	0	0
Arl14ep	7979	7825	9403	8280
Denn2b	190	148	161	84
Srsf9	1656	1494	1651	1341
Srsf3	59089	57714	66947	61811
Fank1	0	0	1	0
Fam243	0	0	0	0
Sdhd	7718	7801	10109	8156
Parpbp	3329	3333	3904	3292
Rras2	18839	18451	12058	10090
4930429D17Rik	2	2	0	0
Psmf1	226	189	306	211
Vmn1r163	0	0	0	0
6030498E09Rik	0	0	0	0
2410141K09Rik	46	51	48	56
Lars	5260	4037	5660	3530
Upp2	0	0	0	0
Pcmtd2	3003	3295	4453	4387
Rad51c	421	427	555	414
Prkcg	9	9	6	6
Synpo2l	3	3	2	1
Epo	0	0	0	0
4930598F16Rik	0	0	0	0
4930405A21Rik	4	2	5	2
Ripk3	35	17	88	39
Apoo	3806	4399	4775	4400
Spn	5	5	8	3
Serpine2	162	123	46	40
Pglyrp1	0	0	0	0
Tnfaip6	258	307	811	924
Tnfaip3	1455	1451	622	434
Tnfaip2	46	33	441	205
Cox11	1656	1766	2225	2203
1110046J04Rik	164	124	168	118
E130310I04Rik	5	13	0	0
Gm1966	0	2	1	0
Fam205a1	0	0	0	0
Gaa	17	8	18	10
Spsb2	22	12	27	11
St18	1	7	7	6
Bcam	0	0	0	0
Trappc3	429	258	475	246
Cops5	5463	4860	6919	5455
Krtap15	0	0	0	0
4930519G04Rik	56	55	67	67
Gpr85	835	896	657	634
1700123K08Rik	0	0	0	0
Rnf170	2626	2781	3185	2781
B930018H19Rik	0	2	4	2
Ipo8	5176	4654	5654	4732
Uba5	1999	1945	2206	1478
Grhl2	2	0	2	2
Rnf165	30	22	23	15
Dok5	16	13	11	16
Arl4d	10	24	17	4
Gm30498	0	0	0	0
Gm28979	0	1	0	2
Minar2	0	0	0	0
1700019A02Rik	8	21	6	14
Gm37065	0	0	0	0
Mcm2	966	1075	1427	859
Mir6344	0	0	0	0
Mir6343	0	0	0	0
Map4k1	4	1	2	0
Mir6541	0	2	1	1
Rev1	1939	1944	2686	2036
Arx	7	9	0	0
2810429I04Rik	44	38	0	0
Prb1	0	0	0	0
Fbxo28	3189	3239	5365	4062
Tekt1	0	0	0	0
Rad21l	0	0	1	0
Shprh	7182	7538	6907	6729
Cd209c	56	53	52	36
Ism2	0	0	1	1
Mybl1	6984	7202	10657	10780
Stx18	442	336	391	258
Cacnb4	14	21	6	1
Esd	6173	3839	10938	6178
Bmp5	0	3	0	2
Pctp	127	99	116	78
Padi2	205	207	217	197
Vmn1r23	0	0	0	0
Cavin1	10069	7276	9551	6856
Omd	259	290	282	291
Srp54c	0	0	0	0
Me3	117	148	122	113
Eif4e1b	1	2	3	0
Gm11548	0	0	0	0
Nsd2	16957	16326	22378	19016
Hbb-b1	0	0	0	0
Ido1	1	0	8	8
Cracr2a	1	4	0	0
Tmem128	1797	1824	2148	1401
Mplkip	3711	4124	6620	6260
E530001F21Rik	0	0	0	0
Rpph1	178	175	396	309
Cyp2c50	0	0	0	0
Abhd15	17	15	14	10
Glo1	6229	5939	5598	5486
Slc22a13	0	0	0	0
Cstf2t	10708	10505	11686	11864
Lamtor2	30	20	28	8
Tor1aip1	2262	2489	2604	2203
Mfsd2a	36	37	36	16
Spatc1l	0	0	0	0
Rflnb	1101	983	822	590
Klra7	14	15	8	5
Cacna1s	0	0	0	0
Hs1bp3	32	20	64	36
Urm1	59	34	58	13
Gtf2e2	4066	3531	4885	4227
Ipmk	2088	1817	2116	1668
Plin5	0	0	0	0
Bbs7	970	916	846	687
D11Wsu47e	26	22	25	8
Urgcp	241	240	375	205
E130102H24Rik	13	8	24	30
Mettl7a3	1	0	0	0
Tgtp1	1	0	0	0
Hexb	1279	1088	1188	1010
Ube4a	4308	4365	4928	4725
1700122O11Rik	0	0	0	0
Zfp444	67	46	55	45
2700097O09Rik	311	282	494	318
Ifrd1	16860	17721	24299	21220
Gpr37l1	0	0	0	0
Mrps25	812	725	1045	597
Stimate	390	397	645	569
Mir669a-5	0	0	0	0
Lypd3	0	0	0	0
Prl8a1	1	0	0	0
Gstp3	0	0	0	0
Pfn1	2319	1747	3228	1319
Acot1	17	15	25	29
Ing5	1830	1572	3051	2228
Cbx8	22	25	65	53
Scnn1g	0	0	0	0
Ybx3	15046	13815	17421	15865
Ybx1	49121	52332	69478	61744
Ercc5	787	536	979	646
Xpa	635	680	943	644
Xirp1	0	0	0	0
Xdh	18	20	143	56
Gzf1	2103	1658	3327	2604
Sftpa1	0	1	0	0
Alpk1	247	183	166	128
Gja10	0	1	1	0
Gja1	11320	10666	20314	20273
Tsc22d3	881	935	875	729
Serpinf1	330	179	460	170
Ncf2	0	2	1	0
Usp25	6735	7440	6917	6661
Wnt8b	0	0	0	0
Elp5	121	101	184	44
Obox1	0	0	0	0
Rab33a	0	0	0	0
Naaladl1	1	3	2	1
Cep19	496	480	754	532
Tcl1b1	0	0	0	0
Tcl1b3	0	0	0	0
Gm7978	0	0	0	0
Pgm2l1	2876	3152	2721	2548
Tmem216	74	79	105	31
A1cf	0	0	0	0
Prpf40a	42177	42114	53963	54576
Mir291b	0	0	0	0
Mybpc1	0	0	0	0
Gatc	264	164	285	181
Plk2	8068	6627	4392	2941
Acot9	11126	8619	10330	8435
Slc9a8	102	71	150	82
Fam89b	12	4	16	4
Slc46a3	7	4	1	1
Fam161a	8	10	15	10
Pdgfa	924	951	984	686
Ggn	0	0	0	0
C730002L08Rik	307	378	10	16
9530080O11Rik	0	0	0	0
Tigd4	55	51	59	60
Msantd1	9	3	6	5
Rbbp5	1645	1391	2129	1705
Mtmr12	1486	1548	1724	1581
Trim23	8317	8831	11178	11459
Cfap99	0	1	0	0
Ccdc87	0	1	0	0
Thoc5	126	71	137	52
Lpcat2	2	2	20	13
Apol8	8	11	6	3
Nckipsd	31	66	86	53
Slc35c1	9	8	12	1
Fstl3	1	0	0	1
Psg25	1	0	0	0
Doc2b	0	3	2	1
Sorbs1	2989	3400	2512	2391
Slc22a1	0	0	0	0
2900060B14Rik	61	45	66	27
Cdan1	397	359	401	252
Olfr1344	0	0	0	0
Nap1l4	1894	1243	1974	1066
Gm10845	1000	826	1044	844
C530008M17Rik	1729	1903	1713	1836
Rif1	37174	37591	47963	46727
C1rl	23	31	14	4
Mir291a	0	0	0	0
Fam168a	1473	1434	1080	791
Ganab	4178	3266	4857	2232
Rnf227	407	334	885	757
Dscam	14	19	1	0
Aipl1	6	10	10	5
Rem2	1	0	0	0
Otud7a	39	50	6	4
Ttc21a	0	0	1	0
Amn	0	0	0	0
Krtap19-1	0	0	0	0
Krtap19-4	0	0	0	0
Htr4	5	3	1	1
Prpf18	2763	2654	3663	3006
Eftud2	1238	1348	2057	1005
Nr4a2	1276	1408	1757	1668
Syce1	0	0	0	0
Lrrc27	12	8	4	1
Vsx2	3	2	5	0
Abhd5	1547	1548	2797	2409
Entpd4	0	0	0	0
Mir7059	0	0	0	0
Rnf32	28	29	30	27
Gsdmc4	9	10	4	0
4930429F24Rik	49	41	28	36
Tmprss9	0	0	0	0
Hras	78	41	80	25
Mir7067	0	0	0	0
Mir7062	0	0	0	0
Mir7061	6	5	8	8
Mir7060	0	0	0	0
Eps15	7785	8535	10472	10215
Sele	30	40	22	14
Zfp14	66	77	95	83
Pcp4l1	0	0	0	0
4930402F11Rik	0	0	0	0
1700128F08Rik	10	13	14	11
Mir8114	0	0	0	0
Mir8113	0	0	0	0
Cir1	1133	1068	1718	1334
Plin3	537	558	741	515
A930003A15Rik	0	0	0	0
Tgif1	1750	1889	3268	2234
Mpzl2	4	2	0	0
Edrf1	1881	1691	2116	1702
Prl2a1	9	4	1	0
Dusp26	0	0	0	0
C6	0	0	0	0
Lrguk	15	8	4	4
Cpa1	0	0	0	0
Palm3	8	2	1	0
Sys1	174	213	363	175
Mrpl20	1725	1308	2307	1638
Inava	12	6	23	13
Bmp6	2	3	0	0
E2f7	1110	1147	1175	995
Reep1	1	2	35	20
Nop16	326	254	554	277
Hmgb4os	0	0	0	0
Lamtor4	20	11	22	7
Nfasc	0	0	0	0
Slc45a3	8	12	37	15
Slc22a2	0	0	0	0
Fabp1	0	0	0	0
Zfp954	78	50	58	27
2610044O15Rik8	3268	3585	3413	3251
Oat	9041	9278	8349	8546
Fzd2	551	532	510	384
Retnla	0	0	0	0
Oog4	0	0	0	0
Ccdc180	0	0	0	0
Lat2	34	26	33	30
Gsdme	179	143	423	325
Ddx59	273	282	449	245
Srsf6	29454	29041	39240	38833
Gm10433	12	9	10	7
Kif16bos	0	1	3	0
Cnnm2	14	9	17	10
Ctf2	0	0	0	0
Tmem156	2	3	12	1
Ky	0	0	0	0
Isca1	2689	2860	4206	3173
Gm7609	148	191	203	169
Tacc3	3274	2998	4063	2500
Usp3	2029	1690	1917	1467
Gm20362	65	57	60	59
Gm31520	0	0	0	0
Rb1	1726	1722	3072	3170
Foxo4	300	281	497	345
Npff	0	0	2	0
Casc4	10208	10736	10867	9982
1700018A04Rik	0	0	4	1
Obp1b	0	0	0	0
Mybph	0	0	0	0
Gm5512	14	13	19	8
Dsel	6979	6843	7657	7422
Tmem236	51	57	61	55
Wrn	3837	3896	3219	2801
Qk	65337	74693	77809	79845
Dynll2	870	541	794	522
Ccdc162	6	7	0	1
Naa15	21228	23189	21586	19977
Sephs2	2952	2931	4673	3256
Sprr1b	0	3	0	0
Sprr1a	467	488	3	4
Fdx2	0	0	0	0
Gm12258	387	316	428	321
Vegfd	397	355	175	156
Haus2	2535	2414	3130	3034
Naip2	51	67	78	41
Zfp599	1063	963	585	430
Inafm1	18	21	14	6
Mcm6	6989	6062	10339	6935
Dclre1a	1340	1263	1513	1165
Ap3m1	5328	4953	7797	6168
Fnbp4	3551	3606	4959	4237
Slc25a35	0	4	6	5
Cd163l1	0	0	0	0
Phf1	107	73	136	77
Rbm8a	2062	1720	2562	1620
Abcc6	0	0	0	0
Ube2i	6401	6108	9317	6686
Krt35	0	0	0	0
Medag	1947	1747	1564	1426
Dusp9	69	57	49	9
Etohd2	16	15	16	25
Ephx3	4	10	8	8
Kansl1	1804	2140	2303	2211
Arnt2	57	69	12	4
Bcl7a	456	553	1278	707
Gm5079	0	0	0	0
Engase	1	1	0	0
Fktn	2283	2278	2429	2189
Letm2	33	29	45	27
Btnl2	0	0	0	0
Scube2	0	0	0	1
Dusp3	434	412	869	650
Nradd	130	139	271	72
Arl8b	10014	9696	10566	9316
Eef1g	2111	1082	1940	758
Sft2d3	296	284	446	365
Wdr64	0	0	0	0
4930592A05Rik	0	0	0	0
1190007I07Rik	246	231	350	236
Uchl5	10742	9833	13625	12481
Atxn3	2244	2166	3834	3609
Mir8091	0	0	0	0
Snhg5	12657	11577	13631	9249
Pgbd1	12	8	5	4
Ndel1	2039	1656	2597	2288
Col23a1	0	0	0	0
Tshz1	1644	1958	2715	2649
Zfp664	6431	6653	8625	7243
Atp5g1	40	22	47	35
Slc3a2	760	678	754	396
Ccdc62	33	32	28	43
Grm1	47	56	62	71
Gm16513	0	0	0	0
1700007P06Rik	0	2	0	0
Gm6634	1578	1948	3149	2675
Gdf1	0	0	0	0
1700024I08Rik	0	0	0	0
A330009N23Rik	0	0	1	2
Spns2	0	0	0	0
6330549D23Rik	40	41	62	51
Rlbp1	0	0	1	1
Aldoart1	0	2	0	1
Phlpp2	2888	2888	1443	1099
Flcn	143	115	205	143
Mcpt4	0	0	0	0
Zfp46	271	245	290	158
Bub1b	2074	1489	2441	1452
4930534H03Rik	0	0	0	0
Ephb4	195	157	117	79
Pop1	1375	1159	1766	1154
Egfl6	9	6	8	1
Fbp1	0	0	0	0
Usp9x	91061	85669	109898	101183
Siae	284	227	242	152
Nr1d2	11152	11905	12655	12246
Ppp2r1a	836	812	980	387
Zfp128	209	200	154	136
Fermt3	2	1	1	1
Bclaf1	48666	49330	60106	56342
Cdh8	0	0	0	0
Slc46a2	0	0	0	0
Prkcd	504	446	1066	758
Prkca	5948	5639	6820	5977
Dennd1c	0	0	0	0
Mir1928	0	0	0	0
Olfr596	0	0	0	0
D730005E14Rik	33	43	32	19
Gm15760	40	46	39	18
Mir297c	1	1	0	0
Rbm15	1983	2052	2167	2176
Magea6	0	0	0	0
Magea5	0	0	0	0
Htatsf1	6098	5187	5062	4285
Ankrd13d	3	0	2	0
1110004F10Rik	5758	5737	6570	5573
Dstn	50521	45295	46189	38280
Tmed2	47666	48861	55054	46316
Fam187a	0	0	0	0
Hacd4	265	249	96	103
Dbil5	0	1	0	1
Cd33	18	12	14	18
Paqr4	19	17	21	11
Nhp2	117	83	135	47
Krtap7-1	0	0	0	0
Col24a1	8	14	6	5
Mapk6	12928	11324	19489	18035
Clcn1	32	25	72	54
Tmem135	1144	1121	1327	1128
Asz1	0	0	0	0
Gtf2h2	3331	3331	4320	3913
Lnx2	620	612	672	639
Cby1	26	17	13	7
Usp37	7152	6896	9356	8381
Arsi	0	1	0	0
Iqca	0	0	0	0
Csnka2ip	2	2	1	0
Hcfc2	3166	3177	3010	2669
Cfap47	0	0	1	0
D6Ertd527e	2	0	0	0
Ivl	0	1	1	1
Gimap1	5	16	14	0
Fabp6	0	0	0	0
Il9r	0	0	0	0
4930526L06Rik	1	0	0	1
4930524O05Rik	0	0	0	0
Atxn7l3	669	438	862	649
Hsbp1l1	14	13	17	7
C2cd4d	0	0	0	0
Irs3	0	0	0	0
1600014C23Rik	0	0	2	2
Cdyl	805	817	1816	1739
Ftmt	0	0	0	0
1700063A18Rik	0	0	0	0
Ccdc158	0	0	0	0
5031425E22Rik	1211	1657	1709	1563
Sec24d	5518	6130	6204	5933
Syt10	0	0	0	0
Riiad1	8	19	3	7
Dmac2	29	22	25	12
Eid3	294	306	329	249
Cdrt4	3	0	0	0
C4bp	0	2	0	0
Cdh2	25845	28340	27969	27145
Hsd11b2	0	0	1	2
Hsd11b1	1	0	0	0
Pisd-ps2	20	12	9	8
Pradc1	23	19	22	12
E330013P04Rik	101	113	0	0
Aatf	1194	778	1275	632
Dhdh	29	20	32	34
Mir692-2	0	0	0	0
Gm28043	311	257	373	368
Ccr1l1	0	0	0	0
Slamf6	0	0	0	0
Mad2l2	9	3	20	3
E2f2	45	32	61	31
5031426D15Rik	787	1239	619	585
Snhg17	548	487	719	542
Bphl	77	87	187	106
Apopt1	208	202	197	119
Cdk13	6957	7436	9975	9145
Mrpl30	966	618	966	817
Nup35	3407	3511	4266	3288
Hnrnpa0	31232	33392	44371	37255
Map1b	9050	9250	2744	2272
Aldoc	13	7	7	1
Ntrk3	4	7	1	0
Mmp14	945	859	1424	811
Mmp13	11	13	160	116
Mmp11	112	111	103	63
B3gnt6	0	3	0	1
Tex24	0	0	0	0
Fam20c	10	6	8	0
Plcxd1	1	1	0	0
Gm20324	13	20	45	12
R3hdml	0	0	0	0
Sult1d1	0	0	0	0
Rnf187	370	176	330	137
Amotl2	21671	20935	11595	11749
Rasa2	4579	4671	7253	6779
Tcp1	33358	25767	36563	25984
BC005537	6439	6187	8426	7988
Mmrn1	0	0	0	0
Snrpd3	1293	1126	2133	1328
Nfrkb	502	406	432	364
Sycp1-ps1	0	1	0	1
Pla2g10	0	0	0	0
Lmbrd1	1672	1568	2080	1862
Ddx56	126	92	153	65
Olfr1121	0	0	0	0
Olfr390	0	0	0	0
Olfr397	0	0	0	0
Olfr1491	0	0	0	0
Gm5069	19	17	19	21
Gm5065	1	0	1	0
Gm6455	0	0	0	0
Thoc7	3668	3867	6260	5047
Olfr1565	0	0	0	0
Dcaf6	2067	1898	2072	1992
Fhad1	0	0	0	0
AI839979	0	1	15	20
Myo1e	1277	960	1312	805
Vmn1r249	0	0	0	0
Limch1	62	51	3	4
Zfp672	850	753	791	656
Mir582	0	1	0	0
Kcnk10	12	15	128	69
Tgm2	37	24	6	0
Elavl3	5	10	11	11
Myl2	0	0	0	0
Clstn3	0	0	0	0
Hgd	2	1	4	1
Dennd5a	4756	4577	4949	4052
Olfr701	0	0	0	0
Erg28	1011	988	1432	1285
Syt5	1	1	0	0
Serpinb1c	13	11	10	13
Fam209	5	5	11	4
Ocel1	17	12	21	4
Gab1	566	568	529	408
Cidec	0	0	0	0
4930567H12Rik	0	0	0	0
Selenoo	63	26	86	48
Tlx1	0	0	0	0
Foxj2	323	324	294	245
Tsga8	0	0	0	0
Trp53inp1	6188	6085	7584	7788
Actn4	3541	4077	3831	3437
Ube2cbp	465	349	594	500
Vipas39	187	132	239	115
Fxr1	20278	19986	22855	18439
Fbxl16	11	10	17	15
Gm13133	0	0	0	0
Gm17660	0	1	0	0
Gm4952	24	29	33	25
Olfr789	0	0	0	0
Epb41l2	5030	5125	3397	2560
Zfp24	8311	8064	11065	10996
Ubiad1	324	320	557	327
D030047H15Rik	1	1	10	4
Gm11190	0	0	0	0
Gm10248	0	0	0	0
Rgs22	6	10	5	7
Abca16	0	0	0	0
Gm13420	0	1	0	0
Fam81b	0	1	0	0
Tmem167b	3637	3600	3986	3236
Dkk2	26322	27770	7360	7026
3010001F23Rik	19	28	11	5
Mfhas1	754	645	718	636
Retn	0	0	0	0
4930432J09Rik	0	0	0	0
Gm1653	0	0	0	0
6530402F18Rik	1	2	0	0
Lpcat2b	0	0	0	0
Fgf23	1	0	0	0
Stk35os1	119	187	233	185
Krt18	0	0	0	0
Spry1	1189	1233	886	851
Psma5	3727	3313	5005	2654
Wdr33	3676	3854	3949	3246
Atp9b	1912	1608	1970	1531
Rpl14	4199	3758	6067	2590
Mbnl2	50766	58952	95899	97831
Gm11517	0	0	0	0
1600029O15Rik	77	91	136	112
Lepr	291	310	239	90
Tmed7	44920	51523	59234	60232
Timp1	610	421	1918	1020
Srp72	10633	8837	11607	9806
Psg17	7	3	6	9
Akr1c18	6	2	366	350
4930542C21Rik	0	0	0	0
4930547E14Rik	0	0	0	0
Rdh9	2	2	3	1
Gtf3a	266	171	358	174
Rasd2	15	8	7	11
Kctd5	1643	1585	1651	1191
Pheta2	11	17	7	1
Tdrkh	2657	2939	1898	1523
Mir547	0	0	0	0
Mif4gd	156	118	213	137
Iba57	21	17	21	10
Btbd35f21	0	0	0	0
Btbd35f23	0	0	0	0
Mir6769b	0	0	0	0
Epb41l5	550	580	321	278
Fhl2	6697	7903	11350	9334
Esam	3	0	5	4
Gm12339	0	0	0	0
Spindoc	128	150	126	90
Zfp568	1298	1189	1080	867
Prss2	2	2	0	2
Lalba	0	0	0	0
Tpt1	77122	71752	157766	133291
Nsdhl	1638	1516	1843	1756
Tpo	0	0	0	0
Tpd52	5210	5803	7809	6861
Tunar	29	35	57	41
Pwwp3a	231	189	358	185
Pdzk1ip1	0	0	0	0
Zmat5	1	1	1	1
Zfp949	441	372	415	320
Llgl1	33	18	39	12
Ssrp1	3117	2204	4225	1626
Rps5	399	239	431	196
Rps4x	15385	8588	25557	12947
Rps29	3479	3779	7587	2942
Rps17	2448	2111	3087	957
Rps15	48	56	72	52
Polr2c	449	500	984	301
Eif2b4	32	24	64	15
Aldh1a2	0	1	0	0
Rai1	199	257	213	177
C630031E19Rik	0	0	0	0
BC031361	125	69	141	107
Spg20	2658	2477	2813	2391
Lonp2	1603	1462	1913	1175
Ubap2	445	406	543	427
1700016P04Rik	0	0	0	0
Mir3078	0	0	0	0
Mir3076	3	1	1	0
Lnpep	22930	23244	21599	21608
Bpi	0	0	0	0
Zfp647	340	378	183	173
Ror1	584	665	82	73
Bhmt	0	0	0	0
Acy3	1	3	4	0
1700072B07Rik	0	0	0	0
1700055C04Rik	0	0	0	0
Lmtk3	0	0	0	0
Rims1	0	2	1	0
Trdn	4	0	0	1
Srrm4os	0	0	0	0
Vmn1r193	0	0	0	0
Ifnk	0	0	0	0
Fbxw15	0	0	0	0
Gnrh1	10	18	30	15
Itga8	258	287	32	23
Msl1	2645	2333	3256	2451
Lurap1l	2786	2985	1752	1644
Armh1	3	1	1	0
Zfp503	3003	3570	1806	1783
Olfr384	0	0	0	0
Cdc73	5652	8190	6742	7415
Trf	0	0	0	0
Gdpd5	3	7	1	1
Bglap2	0	0	0	0
Trappc2l	82	30	75	33
4930478L05Rik	0	0	0	0
Gpbar1	0	0	0	0
Impg2	29	44	97	81
Zfp607b	119	114	95	71
Crip2	3	2	0	1
Wfdc18	0	0	0	0
Mir3061	5	10	6	3
Sec16a	1001	843	941	573
Coro2b	5	5	0	0
Dcdc2a	18	26	18	26
Rimkla	0	0	0	0
Slfnl1	1	0	0	1
Smyd5	123	80	140	51
P4ha3	194	180	36	19
Oplah	0	1	0	1
Zfp3	26	14	18	11
Ssxb8	0	0	0	0
Gm2696	0	0	0	0
Dnase1l3	3	0	0	0
B230214G05Rik	0	0	0	0
B4galt3	29	16	55	15
Fam181b	336	276	3	5
Gm19782	20	33	12	20
Nacad	1	1	0	1
Npw	0	0	0	0
Ccnd3	48	30	85	32
Diaph3	11721	11069	14657	14175
Rmdn1	665	787	931	871
Mir1964	1	3	0	2
Vsig10l	7	3	3	0
Ebf3	579	499	1	1
3830406C13Rik	1241	1094	1845	1608
Prph2	0	0	0	0
Prox1	1	2	0	0
B3galt2	0	0	0	0
Ess2	38	29	37	13
Htr6	0	0	0	0
Usp34	25574	29915	26754	24976
Vmn2r-ps11	1	0	0	0
Musk	0	0	1	0
Hoxc10	311	406	0	0
Ccdc71l	2338	2551	3617	3525
Tmem217	0	0	0	0
Cylc2	0	0	0	0
Mxi1	1035	965	1714	1410
Zfp281	12383	13398	16277	16329
Igfn1	0	0	0	0
Gm11978	0	0	0	0
Magee2	0	2	1	1
Ccl4	0	0	0	0
9330159F19Rik	21	25	38	25
9130230L23Rik	0	0	0	0
Vgf	0	2	0	0
Gm45914	0	0	1	1
Pcdh1	2	0	9	2
Zfp263	1884	1883	2223	1796
Dmgdh	0	0	0	0
Gtf3c2	2623	2334	2778	2374
Rnf126	63	91	221	80
Mir106a	0	0	0	0
Mirlet7d	860	800	1230	1461
Bbs5	1036	979	1313	1190
Serpina9	0	2	0	0
Slc9a3r1	12	22	6	3
A230107N01Rik	95	77	92	84
Ak8	0	0	0	0
Ctsw	2	0	3	3
Eya4	6520	6694	904	923
Adam9	37856	39921	19958	18631
Mir669a-4	0	0	0	0
E230025N22Rik	0	0	1	0
1500011B03Rik	370	247	332	289
1110006O24Rik	4	3	1	2
B230112J18Rik	0	0	0	0
Gm6559	0	1	0	1
A730006G06Rik	1	1	0	1
Gm38403	1	3	9	18
Omt2b	0	0	0	0
Fst	5570	6348	308	260
1700020A23Rik	0	0	0	0
Tnrc18	139	211	154	112
Pogz	1081	1292	1216	1072
Mir6400	2	4	2	0
Ubtfl1	0	0	0	0
Med13	32731	35067	34596	35155
Kbtbd3	524	528	373	391
Chrna2	0	0	0	2
Serpinb13	0	0	0	0
Slc5a4b	0	0	0	0
4921517D22Rik	0	0	1	2
4930509J09Rik	5	1	1	4
Klhl15	919	1001	848	884
Ssr1	34846	34044	47303	42085
Megf11	0	0	0	0
Oas1h	0	0	0	0
Dyrk1a	5568	5004	6344	4833
Pfas	3130	2795	4107	3169
Tdpoz7	0	0	0	0
Asap2	471	596	989	807
Olfr1428	0	0	0	0
Snhg9	4	1	3	0
Adsl	407	333	465	237
Tcea1	32727	31768	36621	34784
Pald1	107	121	216	84
Klrc2	0	0	1	1
Psd3	944	1125	1010	932
Sesn3	359	390	681	598
Tktl2	0	0	0	0
Tc2n	208	256	145	93
Vmn1r22	0	0	0	0
Vmn1r30	0	0	0	0
Vmn1r4	0	0	1	0
Vmn1r5	0	0	0	0
Sh3bgr	8	8	1	2
Zmiz2	4	5	4	7
Tctex1d1	2	2	4	3
Tex43	0	0	0	0
Cep192	8347	7880	9756	8292
H3c1	18	15	25	9
Gipc1	77	39	69	58
Anapc11	295	209	332	195
Prr27	0	0	0	0
Arhgap21	3542	3662	3104	2867
Cntd1	9	5	12	5
Fam92a	12797	12666	12970	12045
Spata16	0	0	0	0
Art2a	0	0	0	0
Wscd1	0	0	0	0
Gm13212	8	13	4	0
Zfp474	0	0	1	0
Ppp2r3c	2810	2342	3055	2564
Chst12	50	49	62	51
