	A567T09	A567T10	A567T13	A567T14
ABCB4	4	1	0	1
ABCB1	3	1	0	0
HNRNPA1P9	0	0	0	0
RUNDC3B	30	18	5	6
SLC25A40	2125	2516	935	683
DBF4	4326	4760	2820	2012
ADAM22	423	395	454	360
SRI	5343	6106	5048	4712
CTB-167B5.1	17	8	1	8
AC003991.3	4	8	4	0
CTB-167B5.2	2	2	0	0
STEAP4	1	3	0	1
EIF4A1P13	0	0	0	0
CTA-326K9.1	0	0	0	0
AC002069.6	0	0	0	0
AC002069.5	0	0	0	0
PQLC1P1	0	0	0	0
EEF1A1P28	0	0	0	0
AC006988.1	0	0	0	0
AC002127.4	0	0	0	0
AC002127.2	0	0	0	0
ZNF804B	0	0	0	0
C7orf62	0	0	0	0
AC002383.2	0	0	0	0
RNU6-274P	0	0	0	0
STEAP2-AS1	1	1	1	0
RP5-1121E10.2	0	1	0	0
DPY19L2P4	0	1	0	0
STEAP1	1565	2007	1254	1079
STEAP2	1263	1516	650	542
AC004969.1	0	0	0	0
C7orf63	627	513	344	262
AC002064.4	59	24	3	1
AC002064.5	2	2	1	0
GTPBP10	1282	1679	909	723
CLDN12	3035	3965	1412	1212
CTB-13L3.1	0	0	0	0
CDK14	2437	2677	1476	1125
AC006153.3	0	0	0	0
AC002456.2	24	46	45	44
TVP23CP1	0	0	0	0
PTP4A1P3	0	0	0	0
FZD1	731	1009	696	582
RP11-115N4.1	2	4	5	0
NIPA2P1	0	0	0	0
RP11-142A5.1	0	0	0	0
CTB-111F10.1	1	0	0	0
MTERF	1021	1243	775	602
AKAP9	5881	5283	2720	2089
CYP51A1	286	239	93	73
LRRD1	7	5	0	1
CTB-161K23.1	10	13	8	8
KRIT1	2973	4044	2190	1617
AC000120.7	35	40	7	6
MIR1285-1	10	16	3	2
ANKIB1	6222	7200	3055	2204
AC007566.11	0	1	0	0
CTB-10G5.1	0	0	0	0
GATAD1	4075	4205	2494	2010
AC007566.10	16	24	12	9
ERVW-1	12	7	6	0
PEX1	1884	1793	1133	813
RBM48	884	943	673	557
FAM133B	1680	2035	1075	785
CDK6	6933	10630	3257	2726
RNU6-10P	0	1	1	4
AC002454.1	29	35	24	12
RN7SL7P	0	0	0	0
SAMD9	1912	2504	1051	828
SAMD9L	593	810	460	334
HEPACAM2	1	0	0	0
CCDC132	1378	1812	882	730
CALCR	0	0	0	0
MIR653	0	0	0	0
MIR489	0	0	0	0
GNGT1	1	1	0	0
AC002075.4	2	0	1	2
MIR4652	0	0	0	0
AC002075.3	0	0	0	0
NDUFAF4P2	0	0	0	0
TFPI2	1422	950	938	787
AC002076.10	0	0	0	1
GNG11	1901	2081	2316	2145
BET1	1759	1721	1104	843
AC006378.2	22	25	13	15
AC003092.1	10	15	1	6
AC003092.2	0	0	0	0
COL1A2	240	178	131	103
RNU6-1328P	0	0	0	0
CASD1	1458	1688	457	371
SGCE	4031	4322	4107	3469
PEG10	8927	10805	7795	6613
RPS3AP25	0	0	1	1
RNU6-956P	0	0	0	0
ATP5F1P2	0	0	0	0
GRPEL2P3	0	0	0	0
RN7SKP129	0	0	0	0
ARF1P1	0	0	0	0
PPP1R9A	1	1	0	0
GS1-200K5.1	0	0	0	0
AC002429.4	0	0	0	0
RNU4-16P	0	0	0	0
AC002429.5	0	0	1	0
PON1	1	1	1	1
AC004022.7	0	0	0	0
AC004022.8	0	0	0	0
PON3	14	22	21	24
PON2	5532	6492	4740	4054
GS1-293C5.1	18	10	2	1
AC004012.1	3	1	2	3
ASB4	3	4	2	1
AC003079.1	0	0	0	0
AC002451.1	0	0	0	0
PDK4	932	761	224	151
AC002451.3	7	7	5	1
DYNC1I1	10	14	5	6
SLC25A13	2572	3829	3107	2349
MIR591	0	0	0	0
AC096775.2	0	0	0	0
AC084368.1	0	0	0	0
RNU6-532P	0	0	0	0
RNU6-364P	0	0	0	0
RNU7-188P	0	0	0	0
AC004458.1	0	0	0	0
SHFM1	9416	10831	11550	11859
C7orf76	0	0	0	0
RP11-682N22.1	9	18	7	12
MARK2P10	0	0	0	0
RN7SL252P	0	0	0	0
DLX6-AS1	0	2	0	0
DLX6	1	1	1	1
DLX6-AS2	0	0	0	0
DLX5	0	1	0	0
ACN9	1080	1110	851	637
HMGB3P21	1	1	0	0
AC073900.4	0	0	0	0
AC004745.1	0	0	0	0
AC007316.3	0	0	0	0
RN7SKP104	0	0	0	0
TAC1	0	0	0	0
ASNS	2479	3388	1675	1560
AC079781.5	0	0	0	0
AC007875.3	0	0	0	0
AC005326.2	0	0	0	0
RPS3AP29	0	0	0	0
AC079781.1	0	0	0	0
AC007875.2	0	0	0	0
AC079781.7	0	0	0	0
AC079781.8	0	0	0	0
OR7E7P	1	2	3	3
MIR5692A1	1	0	0	0
MIR5692C2	0	0	0	0
OR7E38P	309	353	528	520
AC004967.7	353	406	263	286
OCM2	0	0	0	0
RN7SL478P	0	0	0	0
RN7SL13P	0	0	0	0
LMTK2	2595	2621	1693	1267
BHLHA15	13	9	8	8
TECPR1	2308	2144	1976	1764
BRI3	2078	2401	3051	3080
BAIAP2L1	2796	2417	2873	2682
RP4-607J23.2	228	177	108	110
RP11-307C18.1	15	13	11	8
RPS3AP26	144	163	117	126
AC091654.7	0	0	0	0
AC074121.4	0	0	0	0
NPTX2	0	3	0	1
RNU6-393P	0	0	0	0
TMEM130	5	2	1	2
TRRAP	7824	8735	6956	5676
MIR3609	1	0	0	0
AC004893.10	6	12	2	3
AC004893.11	118	137	103	89
SMURF1	3122	3419	2717	2336
KPNA7	4	2	4	6
MYH16	56	37	25	36
ARPC1A	10035	11999	13428	12168
ARPC1B	5294	6300	8126	8418
PDAP1	12846	15276	16658	16124
BUD31	3414	3817	4306	4384
PTCD1	456	290	353	378
ATP5J2-PTCD1	2	3	3	1
CPSF4	3390	3476	3341	3265
AC073063.10	4	3	11	14
AC073063.1	0	0	0	0
ATP5J2	3619	4301	5864	6203
ZNF789	803	1235	1170	1025
ZNF394	1415	1180	1147	1125
ZKSCAN5	1529	1925	1508	1387
FAM200A	662	912	503	393
ZNF655	3738	4798	2495	2042
GS1-259H13.10	7	4	2	1
AC005020.1	0	0	0	0
GS1-259H13.2	23	28	11	21
ZSCAN25	1086	1098	756	612
GS1-259H13.7	4	5	2	0
CYP3A5	66	99	30	24
CYP3A7	30	24	7	11
AC069294.1	7	6	4	4
CYP3A4	2	1	0	0
RP11-757A13.1	0	0	0	0
CTD-3244O18.7	0	0	0	0
CYP3A43	4	6	1	0
CTD-3244O18.5	0	0	0	0
CTD-3244O18.6	1	1	0	0
OR2AE1	0	0	1	1
TRIM4	2911	3088	1629	1368
GJC3	10	12	7	12
RP4-604G5.1	0	0	0	0
AZGP1	4	6	2	3
AZGP1P1	0	0	0	0
RP4-604G5.3	0	0	0	0
ZKSCAN1	7640	7172	3270	2773
ZSCAN21	466	441	365	258
ZNF3	2074	2146	1646	1394
COPS6	7018	8585	10873	11486
MCM7	25112	31092	30428	28443
MIR25	119	115	124	98
MIR93	21	3	11	7
MIR106B	13	5	3	0
AP4M1	842	1129	1269	1171
TAF6	3992	4476	4732	4065
RP11-506M12.1	57	96	65	65
CNPY4	1368	1779	1953	1686
MBLAC1	52	112	94	100
AC073842.19	1	0	0	0
AC073842.18	0	0	1	0
LAMTOR4	2510	2863	3601	3849
C7orf43	725	1169	967	884
MIR4658	0	0	0	0
GAL3ST4	327	333	732	621
GPC2	300	267	223	219
STAG3	167	173	94	68
GATS	262	253	196	191
PVRIG	11	18	8	9
AC005071.1	0	0	0	0
SPDYE3	232	220	240	215
PMS2P1	677	669	750	764
STAG3L5P	634	962	537	410
STAG3L5P-PVRIG2P-PILRB	5	5	1	3
PILRB	835	1478	1057	840
PVRIG2P	0	0	0	0
PILRA	90	108	95	70
ZCWPW1	96	103	107	83
MEPCE	1989	2776	2890	2778
RP11-758P17.2	1	0	1	0
PPP1R35	512	705	737	807
RP11-758P17.3	16	6	2	1
C7orf61	17	20	33	23
RN7SL161P	0	0	0	0
TSC22D4	2884	3435	3682	3618
AC092849.1	0	0	0	0
NYAP1	234	314	217	202
RP11-44M6.1	2	1	0	2
RN7SL416P	0	0	0	1
AGFG2	696	1028	1101	1051
RP11-44M6.3	3	6	3	3
LRCH4	1694	1896	1783	1729
SAP25	0	0	0	0
FBXO24	54	51	50	51
PCOLCE-AS1	19	12	21	10
PCOLCE	624	566	815	800
MOSPD3	698	830	1057	1097
TFR2	52	80	128	119
ACTL6B	0	1	1	0
GNB2	10151	12180	14893	15846
GIGYF1	6248	6777	5262	4710
POP7	1859	2437	2560	2478
EPO	3	2	7	7
ZAN	2	0	0	0
EPHB4	3441	3497	3157	2855
RN7SL750P	0	0	0	1
SLC12A9	1855	2330	2174	2080
RP11-126L15.4	14	8	14	9
TRIP6	5201	6499	6812	6950
SRRT	8269	11535	12592	11737
UFSP1	33	73	32	41
ACHE	3	12	8	13
RN7SL549P	0	0	0	0
RP13-650G11.1	0	0	0	0
MUC3A	4	3	3	2
RP11-395B7.2	2	0	0	1
MUC12	135	51	75	60
RP11-395B7.4	20	38	39	31
MUC17	0	0	0	0
RN7SKP54	0	0	0	0
TRIM56	2169	3348	1428	1103
RP11-395B7.7	3534	4879	4405	4098
SERPINE1	267937	353298	184867	141423
AP1S1	4269	4694	5263	4684
MIR4653	11	29	33	18
VGF	10	21	17	27
NAT16	70	18	21	15
MOGAT3	0	0	2	0
DGAT2L7P	0	1	0	0
RP4-747G18.5	1	0	0	0
PLOD3	7207	8196	10085	9617
ZNHIT1	3498	3624	4581	4817
CLDN15	357	414	195	161
FIS1	4366	4367	5888	5943
RNU6-1104P	0	0	0	0
AZGP1P2	0	0	0	0
RP11-132A1.3	0	0	0	0
RP11-132A1.4	529	582	423	323
RABL5	1796	2116	2777	2660
COL26A1	1	1	1	0
RP5-1106H14.1	0	0	0	0
LINC01007	0	0	0	0
MYL10	2	2	2	2
CUX1	6953	6358	5151	4532
CTA-339C12.1	3	2	1	2
CTB-181H17.1	0	0	0	0
CTA-357J21.1	0	6	5	3
AC005086.1	0	1	0	0
AC005086.3	0	0	0	0
AC005086.2	0	0	0	0
AC005086.4	0	0	0	0
AC005088.1	1	0	0	0
SH2B2	72	120	136	140
MIR4285	1	0	0	0
CTA-313A17.2	2	2	2	4
CTA-313A17.3	3	1	0	0
SPDYE6	35	52	38	39
PRKRIP1	1600	1939	2071	1979
RP11-163E9.2	24	29	24	20
RP11-163E9.1	27	35	31	43
MIR548O	8	5	0	0
RP11-514P8.2	8	11	8	8
ORAI2	2784	3356	3577	3234
ALKBH4	685	705	885	913
LRWD1	1233	1772	1785	1804
MIR5090	0	0	0	0
MIR4467	0	0	0	0
POLR2J	3325	3655	3970	3731
AC093668.2	5	5	3	2
AC093668.3	0	0	0	0
RASA4B	1	1	2	1
RP11-514P8.8	4	0	0	0
AC093668.1	1	0	0	0
POLR2J3	188	279	242	180
RP11-514P8.7	0	0	0	0
SPDYE2	56	60	31	24
RASA4	83	33	19	18
RP11-514P8.6	0	0	0	0
AC105052.1	0	0	0	0
UPK3BL	0	3	1	1
POLR2J2	18	15	15	8
SPDYE2B	6	9	2	0
RASA4DP	5	4	2	2
FAM185A	392	430	386	292
RP11-577H5.1	29	29	29	35
FBXL13	53	64	43	45
RNU6-1136P	4	2	4	5
RN7SKP198	0	1	1	1
LRRC17	22	23	9	16
NFE4	5	4	0	3
AC073127.1	0	1	0	0
RP11-645N11.3	2	1	1	0
ARMC10	2170	2567	1617	1435
CRYZP1	43	53	21	9
NAPEPLD	556	1060	659	476
RPL19P12	5	3	2	4
RP11-401L13.5	7	4	6	8
DPY19L2P2	420	787	748	555
S100A11P1	0	1	0	2
PMPCB	6356	6631	6476	5804
DNAJC2	3183	3985	2654	2218
PSMC2	7581	10055	8717	7501
CTA-276O3.4	13	10	5	2
SLC26A5	16	17	7	10
CTB-107G13.1	0	0	0	0
RELN	1	1	1	0
RN7SKP86	0	0	0	0
ORC5	1619	2117	1582	1406
LHFPL3	1	0	2	0
EIF4BP6	198	173	134	102
LHFPL3-AS1	1	1	0	0
RP11-203P23.2	0	0	0	0
RN7SL8P	0	0	1	0
RP11-325F22.5	0	1	2	0
RP11-325F22.2	3	5	1	2
LINC01004	103	154	163	114
KMT2E-AS1	274	260	294	336
KMT2E	4555	5546	2858	2083
CTB-152G17.6	95	101	31	21
SRPK2	4402	4310	2277	1541
CTB-152G17.5	0	0	0	0
CTB-152G17.4	3	8	0	1
RP4-778K6.1	0	0	0	1
RWDD4P1	8	4	5	2
RP4-778K6.3	8	9	13	5
RNU6-1322P	0	0	0	0
PUS7	2175	3341	1965	1604
RP11-251G23.2	69	48	50	43
RINT1	2043	2392	1313	836
EFCAB10	31	51	10	7
RP11-251G23.5	84	128	59	48
YBX1P2	19	17	12	16
ATXN7L1	587	549	344	300
CTA-351J1.1	0	0	0	0
CDHR3	130	148	152	144
SYPL1	11254	12697	6872	5257
DCAF13P1	2	6	2	2
RNU6-392P	0	0	0	0
NAMPT	29355	24456	10783	7764
RP11-22N19.2	9	2	3	3
LARP1BP2	0	0	0	0
CTB-111H14.1	1	1	4	3
CTB-30L5.1	1	1	3	2
CCDC71L	2537	2618	1204	1082
AC004917.1	0	0	0	0
RP5-884M6.1	0	3	3	0
RNA5SP236	0	0	0	0
PIK3CG	1	0	0	0
PRKAR2B	78	84	42	60
CTA-360L10.1	0	0	0	0
HBP1	3594	3132	1299	893
CTA-363E19.2	62	42	14	11
COG5	2845	2923	1516	1177
AC004492.1	1	0	0	1
CTB-20D2.1	0	0	0	0
GPR22	6	3	1	1
DUS4L	907	977	624	473
RP4-593H12.1	8	15	9	2
BCAP29	4100	4767	2572	2207
WBP1LP2	18	26	20	10
BANF1P5	0	0	0	0
SLC26A4-AS1	0	1	0	0
SLC26A4	20	39	4	4
AC002467.7	123	140	137	144
CBLL1	2114	2571	1071	836
SLC26A3	3	1	0	3
PIGCP2	0	0	0	0
DLD	6480	8606	6126	4786
LAMB1	36791	28328	25654	20556
CTB-13F3.1	323	147	96	77
LAMB4	0	2	1	0
AC005048.1	0	0	0	0
NRCAM	1064	418	200	143
AC007567.1	0	0	0	0
PNPLA8	2985	3341	1631	1325
CTB-54D4.1	2	3	4	2
THAP5	1618	2129	659	523
DNAJB9	943	833	366	254
AC005487.2	0	0	0	0
CTA-369K23.1	0	0	0	0
C7orf66	0	0	0	0
FLJ00325	0	0	0	0
AC004014.3	0	0	0	0
AC004014.4	0	0	0	0
AC002386.1	0	0	0	0
AC073071.1	0	0	0	0
AC073387.2	0	0	0	0
RP11-10E6.1	0	0	0	0
EIF3IP1	0	0	0	0
RPL3P8	0	0	0	0
AC003088.1	0	0	1	4
IMMP2L	358	299	232	187
IMMP2L-IT1	4	1	3	3
AC005161.1	0	0	0	0
LRRN3	11	9	1	4
AC003989.3	0	0	1	0
AC003989.4	0	0	0	0
DOCK4	854	653	211	200
DOCK4-AS1	2	2	1	0
RNA5SP237	0	0	0	0
AC003080.4	0	0	0	0
ZNF277	2153	1808	1185	950
RN7SKP187	0	0	0	0
AC004112.4	7	2	1	0
MTND5P8	0	0	0	0
AC004112.5	0	0	0	0
AC004112.7	0	0	0	0
IFRD1	6767	4864	2506	2076
AC079741.2	3	0	2	4
LSMEM1	102	196	177	139
NPM1P14	1	0	0	0
AC002463.3	0	0	0	0
MIPEPP1	0	2	0	0
TMEM168	1894	1852	689	638
C7orf60	1380	1454	677	521
AC018464.3	13	47	16	20
GPR85	26	42	18	25
RP11-736E3.1	0	0	0	0
LINC00998	3116	3490	2048	1450
RP11-703P11.1	0	0	0	0
TSRM	0	0	0	0
PPP1R3A	0	0	0	0
FOXP2	1	3	0	0
RP11-95P9.1	0	0	0	0
AC073626.2	0	0	0	0
RNA5SP238	0	0	0	0
AC020606.1	0	0	0	0
MIR3666	0	0	0	0
MDFIC	2101	2395	845	646
AC068610.5	0	0	0	0
AC068610.3	2	4	3	1
RAC1P6	0	0	0	0
RP11-222O23.1	0	0	0	0
RP11-458K10.1	0	0	0	0
RP11-458K10.2	0	0	0	0
RP11-458K10.3	0	0	0	0
TFEC	3	2	2	0
TES	12451	12360	6666	5116
AC073130.3	89	67	30	24
AC002066.1	54	50	38	26
AC073130.1	31	69	21	21
CAV2	7828	8482	4397	3225
AC002066.2	0	0	0	0
snoZ185	5	1	9	5
CAV1	39364	54954	39267	32521
AC006159.5	13	17	3	9
AC006159.4	1	1	1	0
AC006159.3	2	4	0	0
MET	12126	15325	7371	6194
CAPZA2	7793	9109	5185	3887
AC002543.2	12	0	0	0
RNA5SP239	0	0	0	0
ST7-AS1	178	78	124	129
ST7	1118	1469	1371	1234
ST7-OT4	24	14	7	5
AC106873.4	0	0	0	0
TPM3P1	0	1	0	0
ST7-AS2	1	1	2	1
AC002542.2	2	0	0	0
AC006326.3	0	0	0	0
MTND4P6	0	0	0	0
AC006326.5	0	0	0	0
WNT2	0	0	0	0
AC002465.2	0	0	0	0
ASZ1	0	0	0	0
AC003045.1	0	0	0	0
CFTR	13	7	1	1
AC000111.4	0	0	0	0
AC000111.3	0	0	0	0
AC000111.5	0	0	0	0
AC000111.6	0	0	0	0
CTTNBP2	294	194	32	36
AC007568.1	1	0	0	0
AC003084.2	0	1	0	0
NAA38	4118	4701	4086	3747
ANKRD7	38	28	32	13
AC006926.1	0	0	0	0
RP11-515K14.1	0	0	0	0
RP11-533K11.1	0	0	0	0
RP11-500M10.1	0	0	0	0
AC091320.2	0	0	0	0
AC091320.1	0	0	0	0
RP11-328J2.1	0	0	0	0
RP4-742N3.1	0	0	0	0
RP5-1006K12.1	0	0	0	0
KCND2	1	0	0	0
RNU6-581P	0	0	0	0
RP4-797C5.2	0	0	0	0
TSPAN12	58	82	106	91
ING3	1247	946	538	339
RNA5SP240	0	0	0	0
CPED1	671	662	179	155
HMGN1P18	0	0	0	0
RNA5SP241	0	0	0	0
RNU6-517P	0	0	0	0
WNT16	51	25	15	14
FAM3C	3182	3900	1691	1233
RP11-3L10.1	0	0	0	0
RP11-3L10.2	0	0	0	0
RP11-3L10.3	0	0	0	0
AC004875.1	0	0	0	0
RP4-745K6.1	0	0	0	0
RN7SKP277	0	0	0	0
PNPT1P2	0	0	0	0
PTPRZ1	67	28	7	8
AASS	2304	1749	756	593
RNU7-154P	2	5	0	0
RP5-1049N15.2	0	0	1	1
RP11-560I19.1	0	0	0	0
RP11-560I19.2	0	0	0	0
FEZF1	0	0	0	0
FEZF1-AS1	0	1	1	0
CADPS2	897	788	656	554
RP5-1101C3.1	3	3	2	1
RP11-395G17.1	0	0	0	0
RPS26P31	6	14	16	16
RNF133	14	2	3	2
RNF148	10	3	7	5
RP5-1166A24.1	1	0	0	0
TAS2R16	0	0	0	0
RP11-61D3.1	0	0	0	0
SLC13A1	0	1	0	0
LYPLA1P1	0	0	0	0
IQUB	45	21	16	23
RP11-332K15.1	2	0	0	0
RNU6-296P	0	0	0	0
NDUFA5	3891	4269	2540	2069
ASB15	0	0	0	0
RP11-390E23.3	0	0	0	0
LMOD2	14	1	0	0
WASL	3712	3718	1570	1156
RP11-390E23.6	195	169	156	154
RNU6-11P	0	0	0	0
HYALP1	0	0	0	0
HYAL4	5	2	1	0
SPAM1	0	0	0	0
RP4-630C24.1	0	0	0	0
RP4-630C24.3	0	0	0	0
TMEM229A	0	0	0	0
RP5-921G16.1	0	0	0	0
RP11-264K23.1	0	0	0	0
RP5-921G16.2	0	0	0	0
SSU72P8	0	0	0	0
RP5-1106E3.1	0	0	0	0
RNU6-102P	0	0	0	0
GPR37	6	6	3	5
POT1	3204	3230	2008	1693
RP11-3B12.1	97	139	77	54
EEF1GP1	2	3	3	1
RP11-3B12.5	5	2	0	0
RP11-3B12.4	13	17	8	2
RP11-3B12.2	0	0	0	0
RP11-3B12.3	0	0	0	0
RP11-420H19.3	0	0	0	0
RP11-420H19.1	0	0	0	0
RP11-420H19.2	0	0	0	0
RP11-807H17.1	0	0	0	0
AC005276.1	0	0	0	0
AC003968.1	0	0	0	0
AC000370.2	0	0	0	0
GRM8	2	1	2	0
AC000374.1	0	0	0	0
AC000367.1	0	0	0	0
AC000362.1	0	0	0	0
MIR592	0	0	0	0
AC000099.1	0	0	0	0
AC000110.1	1	0	0	0
ZNF800	2248	1744	750	557
AC000123.4	151	240	84	83
AC000124.1	0	0	0	0
GCC1	1485	1591	1413	1122
ARF5	4887	4954	6979	6729
FSCN3	8	2	4	2
PAX4	0	0	0	0
AC073934.6	2	1	7	2
SND1	20927	21814	23876	21683
RP11-20L24.1	0	0	0	0
LRRC4	23	13	6	5
MIR593	3	3	2	0
MIR129-1	0	0	0	0
LEP	2	0	0	0
RP11-62J1.4	3	1	2	1
AC018635.1	3	0	1	0
RBM28	4178	5215	4189	3622
RP11-62J1.3	0	0	0	0
RNU7-27P	0	0	0	0
PRRT4	22	27	48	40
IMPDH1	5892	7845	9692	9430
RP11-155G14.1	0	0	1	0
RNU7-54P	0	0	0	0
RP11-212P7.3	1	2	0	0
HILPDA	1230	2869	2052	1757
RP11-155G14.6	9	15	4	4
RP11-155G14.5	0	0	0	0
METTL2B	2093	2406	1872	1680
RP11-212P7.2	364	464	486	450
RP11-274B21.1	895	724	330	263
RP11-212P7.1	0	0	1	0
RNU6-177P	0	0	0	0
RP11-274B21.2	689	673	457	346
RP11-274B21.4	520	551	408	381
AC018638.1	57	70	27	38
RP11-274B21.3	518	576	478	440
CICP14	369	606	224	175
RP11-274B21.10	12	29	29	11
RP11-274B21.5	4	1	1	1
FAM71F2	23	32	28	26
RP11-274B21.8	6	10	3	12
RP11-274B21.9	3	9	11	7
RP11-274B21.7	0	0	0	0
RNA5SP242	1	1	0	1
RNA5SP243	0	0	1	0
FAM71F1	3	1	1	1
CALU	66555	74687	45406	35791
RN7SL81P	122	75	16	18
OPN1SW	616	500	652	622
CCDC136	934	959	672	606
FLNC	1967	3355	3062	2573
RP11-309L24.2	1	4	7	2
KCP	16	10	11	12
ATP6V1F	2276	2254	3085	3185
RP11-309L24.4	3	2	1	2
RP11-309L24.9	11	10	5	10
AC025594.1	0	0	0	0
RP11-309L24.6	0	0	0	1
IRF5	158	75	182	153
TNPO3	5381	6667	5007	3987
RN7SL306P	1	1	0	0
ODCP	27	43	19	12
TPI1P2	24	11	30	14
RP11-128A6.3	0	0	0	0
RP11-286H14.2	0	0	0	0
RP11-286H14.1	0	0	0	0
RP11-286H14.3	0	0	0	0
RP11-286H14.4	19	41	27	33
TSPAN33	218	223	246	279
RP11-286H14.6	1	3	2	3
SMO	595	555	1135	1028
RP11-286H14.8	11	13	15	16
AHCYL2	1132	996	816	693
RNU7-16P	0	1	0	0
RP11-305M3.2	64	71	98	71
STRIP2	2571	2715	1722	1380
SNRPGP3	1	2	0	0
RNU1-72P	11	26	9	4
SMKR1	39	49	116	115
RP11-448A19.1	139	375	273	246
NRF1	1340	1734	1307	1220
RNA5SP244	0	0	0	0
MIR182	0	0	0	0
MIR96	0	0	0	0
MIR183	0	0	0	0
RP11-738B7.1	3	1	3	2
UBE2H	10566	9828	7780	6797
RP11-306G20.1	6	6	1	1
AC073320.1	0	0	0	0
ZC3HC1	1647	1976	2144	1984
RNA5SP245	0	6	2	0
KLHDC10	3937	4559	2507	2189
RP11-775D22.2	2	1	4	2
TMEM209	2849	2916	1265	936
RP11-775D22.3	5	22	7	6
SSMEM1	0	0	0	0
RP11-190G13.4	1	0	0	0
CPA2	1	4	7	14
CPA4	724	2283	5070	4434
CPA5	31	20	70	70
CPA1	1	0	0	0
CEP41	1762	2202	1511	1216
RP11-2E11.5	1	3	1	1
RP11-2E11.10	0	0	0	0
MEST	1276	1581	5259	4391
hsa-mir-335	12	4	4	5
MIR335	0	0	0	0
COPG2	1414	1433	1443	1203
RP11-2E11.9	6	2	3	0
RNA5SP246	0	1	0	0
AC009274.6	3	1	4	0
TSGA13	0	0	4	1
KLF14	0	0	0	0
RP11-36B6.1	0	0	0	0
AC016831.5	0	0	0	0
AC016831.3	1	0	0	0
AC016831.6	3	2	2	1
AC016831.7	61	58	56	57
MIR29B1	185	319	188	200
RP11-138A9.1	4	3	1	2
RP11-138A9.2	19	7	2	4
MKLN1-AS1	874	685	301	206
RNU6-1010P	1	1	0	0
MKLN1	5461	5930	2586	2256
AC009362.2	0	0	0	1
MKLN1-AS2	292	303	223	173
RP11-180C16.1	20	20	12	15
PODXL	936	1199	970	706
AC008264.4	0	0	0	0
AC093106.7	38	61	57	59
AC093106.4	0	0	0	0
AC093106.6	0	0	0	0
AC093106.5	0	3	0	0
AC008085.1	0	0	0	0
AC009518.2	0	0	0	0
AC009518.3	0	0	0	0
AC009518.4	0	0	0	0
AC105443.2	0	0	0	0
PLXNA4	14	37	3	12
AC018643.4	0	0	0	0
AC011625.1	0	0	0	0
AC009365.3	0	0	0	0
AC009365.4	0	0	0	0
CHCHD3	4916	6456	5500	4892
AC009518.8	5	0	0	0
AC083873.4	31	17	20	18
EXOC4	5895	6082	4730	3956
AC083875.1	0	0	0	0
AC083875.2	0	0	0	0
COX5BP3	0	1	0	0
AC007790.4	0	0	1	1
LRGUK	32	25	30	22
AC008154.4	0	0	0	0
SLC35B4	2841	3767	1864	1604
AC008154.5	0	0	0	0
RP11-38M8.1	311	295	330	347
AKR1B1	59355	69504	78264	78624
AKR1B10	154	110	76	51
AKR1B15	33	11	19	11
BPGM	1647	1807	1210	891
AC009276.4	0	0	0	0
TUBB3P2	0	0	0	0
CALD1	31591	35132	13567	11259
AGBL3	162	174	135	139
C7orf49	1084	1542	1355	1208
AC083862.6	1	0	1	0
AC083862.1	0	0	0	0
TMEM140	391	438	239	177
RP11-134L10.1	14	31	25	20
WDR91	1660	1579	1290	1061
AC009542.2	18	6	2	0
STRA8	0	2	0	0
CNOT4	1445	1822	1342	1075
SDHDP2	2	0	0	0
NUP205	12517	15306	10070	8250
RP11-751K21.1	1	2	2	0
AC093107.7	2	4	9	13
C7orf73	3789	4463	3230	3041
RNU6-1154P	1	0	0	0
SLC13A4	363	497	242	227
RP11-644N4.1	0	0	0	0
FAM180A	15	6	1	3
AC091736.1	0	0	0	0
AC015987.1	25	12	3	2
MTPN	9081	10967	3356	2145
AC015987.2	0	0	0	0
LUZP6	0	0	0	0
RNU6-223P	1	0	0	0
AC024084.1	0	0	0	0
AC009784.3	8	4	0	1
AC009784.1	2	0	0	0
AC009784.4	0	0	0	0
AC009541.1	0	0	0	0
hsa-mir-490	0	1	0	0
PSMC1P3	6	3	15	5
CHRM2	0	0	0	1
MIR490	0	0	0	0
KRT8P51	0	0	0	0
AC009517.2	0	0	0	0
PTN	1364	1384	720	634
AC078842.4	1	0	1	0
AC078842.3	2	0	0	0
DGKI	78	134	33	28
AC009245.3	13	19	14	18
CREB3L2	9148	9195	5540	4522
AC022173.2	2	0	0	0
AKR1D1	3	0	1	1
AC009263.2	0	1	0	0
AC024082.3	0	0	0	0
AC024082.4	0	0	0	0
AC024082.1	0	0	0	0
RN7SKP223	0	0	0	0
RCC2P3	0	0	0	0
MIR4468	0	0	0	0
AC083867.4	0	0	0	0
AC008155.2	0	0	0	0
AC008155.1	0	0	0	0
AC008265.2	2	1	0	0
TRIM24	1682	1855	1222	966
AC013429.5	0	2	0	0
SVOPL	0	0	1	0
AC013429.4	0	0	0	0
AC020983.5	0	0	0	0
UQCRFS1P2	0	0	0	0
ATP6V0A4	10	2	11	14
TMEM213	7	0	0	0
KIAA1549	1290	1458	1271	1037
RNU6-1272P	0	1	0	0
ZC3HAV1L	174	447	196	167
ZC3HAV1	4847	5870	4182	3699
RP11-383F6.1	11	25	12	10
TTC26	1402	1913	1155	969
RP11-365F18.3	9	21	8	8
RP11-365F18.6	11	13	6	4
RP11-365F18.1	1	1	1	2
RP11-365F18.5	1	1	2	2
UBN2	1914	2441	871	708
