NAME	DESCRIPTION	N4_2	N4_3	N4_4	N7_2	N7_3	N7_4	N9_2	N9_3	N9_4
SNORD163	na	2	4	3	1	3	4	0	1	0
CPM	na	23	23	27	45	37	30	34	45	32
SNHG29	na	2698	1781	2935	4903	2782	4937	5596	4258	3764
SNORD49B	na	2	1	6	6	4	10	6	4	3
SNORD49A	na	85	66	100	202	140	245	160	116	110
SNORD65	na	17	9	19	23	20	26	33	28	18
SPIB	na	1	2	1	2	1	2	1	2	6
KRT16P2	na	1	1	1	0	1	3	2	4	3
KRT17P1	na	0	0	0	0	1	1	0	0	0
TBC1D27P	na	0	1	0	0	0	0	0	0	0
PAFAH1B2	na	4010	2874	4626	5881	3781	5560	5600	4609	4285
SERPINB12	na	0	0	0	0	0	0	1	0	0
PDP2	na	318	381	426	729	937	847	983	876	883
PPM1L	na	92	96	124	131	105	120	97	80	77
SMCR2	na	5	3	3	2	4	2	3	0	0
SMCR5	na	2	0	2	2	1	5	1	1	0
HSF4	na	76	73	69	57	70	66	48	58	43
NOL3	na	519	490	745	784	727	828	610	493	482
YIF1B	na	308	216	298	423	287	374	384	293	284
SEL1L3	na	511	434	644	1000	839	1138	863	744	693
APOA2	na	1	1	5	1	2	2	2	4	4
QPCTL	na	249	205	267	544	409	552	426	389	280
MELK	na	2187	1703	2512	3272	2226	3070	2990	2389	2236
SLC39A6	na	922	706	1076	1534	911	1513	1352	1222	1052
PLA2G15	na	215	184	244	360	321	400	444	307	298
LETM1	na	1744	1613	2120	3417	2408	3422	3410	2902	2572
MIR6778	na	2	1	0	2	7	1	1	2	1
LINC02076	na	5	5	5	4	9	10	3	4	5
KRT17P2	na	0	0	1	0	0	0	0	0	0
USP32P2	na	0	0	1	0	1	1	2	0	2
CCDC144B	na	0	0	0	0	1	2	0	2	1
FAM166B	na	9	13	14	8	11	11	13	6	11
KPNA7	na	0	1	0	0	0	1	1	0	0
SORT1	na	448	408	426	1427	1244	1447	684	589	565
PCDH19	na	6	4	5	4	10	5	2	2	3
CYB5B	na	4147	3130	4841	5592	3470	5096	5124	4065	3795
AURKA	na	1357	1028	1647	2248	1460	2162	2189	1926	1689
CACNA1B	na	33	22	60	44	35	46	22	21	18
SMCO1	na	0	0	1	0	0	3	3	1	0
WDR53	na	287	193	313	342	234	343	339	267	293
RCAN2	na	9	5	6	15	7	27	3	2	2
SNX11	na	211	170	283	396	267	389	361	311	273
CRK	na	254	190	341	363	162	396	268	272	189
SNORD3D	na	3311	1792	3118	5335	2312	7780	4633	2575	2578
SNORD3A	na	245747	142425	241048	336609	181302	492370	256842	153734	142245
SNORD3C	na	1600	1255	1708	1789	1144	1998	1170	885	731
SLC10A1	na	1	0	0	0	0	0	0	0	1
EPN2-IT1	na	5	7	6	8	18	11	10	5	7
LRPAP1	na	1050	982	1274	1806	1531	2009	1695	1456	1244
PHYHIP	na	0	0	1	9	5	10	1	2	3
VPS26A	na	501	497	462	890	940	801	743	572	554
PRICKLE4	na	35	45	59	34	60	55	62	62	63
NDUFAB1	na	1614	1131	1720	2641	1406	2752	2908	2394	2078
RHOU	na	77	69	99	178	135	185	80	79	82
M6PR	na	1362	1051	1524	2184	1376	2015	2150	1791	1508
PAIP2	na	826	637	967	1190	948	1186	1529	1260	1131
MRPS30	na	902	670	1119	1211	657	1072	1256	1091	985
TNFRSF12A	na	1388	1145	1748	1268	646	953	1348	1362	1022
KRBA1	na	169	176	233	124	120	136	250	255	223
CCDC144CP	na	5	3	3	16	16	16	14	10	13
USP32P3	na	2	2	3	29	14	18	17	10	16
NOS2P3	na	0	0	0	0	0	0	0	0	0
KRT16P3	na	0	0	0	0	0	0	0	0	0
LOC100287072	na	1	0	0	0	1	1	0	0	0
LRP2	na	0	0	0	0	1	0	0	0	1
UBBP4	na	3	2	9	13	5	4	4	15	8
FLJ36000	na	142	203	163	259	367	297	321	294	222
MIR4522	na	1	3	2	0	1	0	1	1	2
HSPA1A	na	52	59	88	75	76	101	67	83	67
TBC1D3P5	na	0	0	0	0	0	0	0	0	0
TMEM192	na	519	398	632	1077	673	983	1017	825	760
PYY2	na	1	0	1	0	2	2	0	1	0
KRT18P55	na	2	3	0	0	1	1	1	4	1
MIR4723	na	0	1	0	0	1	0	0	0	0
ADSS2	na	1171	878	1349	1440	853	1355	1406	1091	1044
SPAG5-AS1	na	9	4	7	4	5	7	5	6	6
TNPO2	na	1845	1611	1949	2647	2299	2816	2487	2307	1855
ASB6	na	345	295	463	657	534	682	591	610	511
ASB8	na	289	203	373	447	352	421	449	349	344
SDF2	na	389	299	479	599	336	682	675	530	496
CTNNA3	na	0	0	2	0	0	0	2	2	4
PIK3C3	na	174	149	244	218	219	228	221	189	171
ALDH16A1	na	383	323	463	702	452	642	594	497	422
TNFSF13B	na	1	1	0	1	0	2	1	5	2
SRRM5	na	2	3	0	3	3	3	2	1	1
ZDHHC7	na	1318	1010	1444	1966	1427	1905	1623	1376	1298
AHSA1	na	2017	1511	2703	3148	1969	3363	3085	2521	2479
YIPF2	na	238	207	275	414	316	454	507	467	396
TMBIM1	na	1248	1047	1618	1487	1184	1582	1068	1023	895
ITGA2B	na	3	3	2	0	1	1	3	1	2
SNORD42B	na	35	22	39	32	20	43	31	26	27
SNORD4A	na	108	66	162	167	71	158	171	147	106
SNORD42A	na	19	18	16	36	10	23	26	17	14
SNORD4B	na	14	13	17	23	11	26	26	11	17
TOMM40	na	2232	1808	2442	3494	2380	3331	3526	3016	2600
AHSG	na	1	0	0	3	0	1	1	0	1
ZNF142	na	1525	1721	1779	1544	1626	1625	1564	1379	1146
SALL4	na	0	2	1	1	1	1	0	0	0
SIRPA	na	168	206	207	622	698	687	751	639	554
GATA4	na	0	1	0	0	0	0	0	0	0
SOX8	na	65	44	106	110	44	64	537	422	338
GDF11	na	197	168	251	722	591	758	693	578	573
PRDX2	na	3029	2453	3594	6362	4409	6376	6229	5185	4624
CD96	na	1	0	0	0	0	0	1	0	0
PHTF2	na	1300	1120	1464	1682	1213	1648	1837	1476	1359
CRLS1	na	622	495	785	903	538	868	1021	806	746
PNLDC1	na	2	4	1	2	2	5	2	3	4
NDUFB6	na	589	441	729	837	472	786	1021	790	738
EPHA2	na	850	829	1058	2208	1546	2257	2617	2616	2109
ATP6V1C1	na	1362	1210	1609	2293	1598	2193	2598	2227	2022
CHST10	na	656	498	783	564	398	580	523	468	432
MIR4523	na	29	25	31	16	23	14	26	28	15
REELD1	na	5	1	1	9	4	2	4	8	4
SCAMP3	na	146	43	209	9	1	7	528	11	7
KAT5	na	553	429	566	837	577	856	791	684	586
REPS2	na	42	25	18	82	85	104	72	46	44
EFCAB9	na	0	0	1	0	0	2	0	2	1
RERG	na	1	1	1	1	3	1	0	0	0
C17orf50	na	2	1	0	4	0	0	0	0	0
NSRP1	na	464	363	533	578	348	540	611	456	446
BAZ2A	na	1202	1331	1327	1892	2626	2109	1919	1903	1551
ERO1A	na	732	636	775	1679	1254	1559	1214	1046	929
HUNK	na	9	7	11	26	25	43	3	2	2
SLC40A1	na	73	65	114	3	2	6	1	0	2
SMURF2P1-LRRC37BP1	na	330	303	422	495	374	502	415	329	328
SH3GL1P2	na	12	7	13	19	19	17	23	14	19
SUZ12P1	na	422	413	533	635	446	617	588	437	467
PABPC1	na	5682	7144	5304	12252	15653	10748	19921	16259	14796
AKNA	na	148	118	174	190	199	178	142	99	110
ADAP2	na	114	91	155	48	52	34	30	21	23
HCRTR2	na	3	2	1	0	0	0	0	0	0
SKA1	na	76	2	9	20	4	4	16	17	14
DPRXP4	na	12	18	21	20	21	29	21	15	21
LOC646030	na	0	0	0	1	0	0	0	0	0
MIR4733	na	0	0	0	0	0	0	0	1	1
CDCA2	na	1765	1475	2115	2596	2171	2436	2475	2132	1799
CD200R1	na	0	2	1	2	1	0	2	1	1
SPATA17	na	34	29	29	35	31	41	34	24	29
UBE2M	na	1232	868	1463	1883	1070	1832	2039	1746	1514
AP2M1	na	4126	3310	5045	7009	5022	6914	7085	5863	5414
ZMAT1	na	78	94	61	107	198	105	79	71	72
NEK2	na	1543	1232	1942	2345	1413	2308	2688	2048	1972
MAN2B1	na	691	658	884	1365	1295	1357	1019	955	754
CPNE3	na	2875	2337	3099	4233	2835	4006	3769	2868	2777
SH3GL1P1	na	13	23	26	24	37	29	31	24	17
LOC105371730	na	4	4	2	4	2	5	1	4	3
TPM2	na	8397	5849	9138	14837	8066	13152	11612	9574	8150
ITGA4	na	9	13	19	3	7	7	2	0	0
SSR1	na	2457	2099	2450	3926	3085	3625	4067	3168	3030
RARB	na	742	890	1109	2015	1786	1870	2168	1827	1612
RPUSD3	na	537	436	658	849	566	911	983	809	795
UTP25	na	621	564	736	1079	687	952	913	739	701
POLR2A	na	1343	3053	1179	1391	5353	1615	1188	1255	720
TRIM25	na	1151	1063	1337	2220	2189	2549	2360	1953	1803
RAD51L3-RFFL	na	0	0	1	1	0	2	4	0	0
NLE1	na	746	580	858	1335	945	1423	1410	1158	988
KATNAL1	na	923	781	1037	1836	1388	1559	1032	834	732
YTHDF2	na	2533	2055	2731	3567	2568	3312	3545	2724	2559
GAL3ST2	na	0	1	1	0	1	1	3	0	0
MTFP1	na	323	264	403	546	372	505	549	420	418
CDK12	na	1713	1685	1852	2642	2575	2670	2651	2249	1911
LOC107985033	na	1	0	1	4	1	1	1	2	1
SNORD7	na	11	4	11	14	7	12	11	7	2
POLE3	na	1385	945	1512	1852	962	1764	2047	1688	1543
NELFB	na	825	620	879	1499	1193	1561	1580	1269	1105
SLC16A11	na	0	0	0	1	0	0	0	0	0
EXT2	na	1139	895	1208	1915	1371	1935	1750	1332	1271
TBC1D2	na	85	79	100	90	80	88	62	61	62
LRRC37A8P	na	0	0	0	0	0	0	1	1	1
ARAP1	na	433	421	431	807	946	786	615	590	476
ZC4H2	na	245	215	287	488	368	436	562	408	430
MCM3AP-AS1	na	129	157	179	171	145	169	144	158	139
RAD54L	na	451	423	470	634	667	663	644	623	492
PNPLA8	na	283	165	280	327	243	305	303	242	206
IL4R	na	36	36	39	67	61	44	58	40	37
MED8	na	531	388	649	764	519	767	1081	867	706
PSMD3	na	2578	2078	3265	4606	3195	4743	4534	3955	3239
LYPLA1	na	2518	1932	3091	3797	2068	3411	4160	3325	3085
OR13C3	na	0	0	0	0	0	0	1	0	0
USP35	na	81	63	107	111	145	133	87	109	72
RAB39A	na	194	162	255	251	186	271	273	260	297
TMED9	na	858	655	979	1706	1039	1580	1462	1271	1130
WDR1	na	5512	4659	6553	10487	7526	10360	8827	7482	6784
CMTM1	na	65	41	83	129	73	109	118	101	88
TAF3	na	172	155	216	244	193	223	253	218	193
ZNF879	na	194	197	262	315	226	333	256	205	215
KCND1	na	4	3	5	5	2	2	3	1	4
LHX1-DT	na	52	52	47	113	72	105	249	258	178
RPL17-C18orf32	na	0	1	0	1	1	2	2	0	2
SUN3	na	1	0	1	0	0	0	1	0	0
C7orf57	na	0	4	12	1	2	4	2	0	2
NOS1	na	6	3	1	2	4	6	9	10	7
ARL14EPL	na	1	0	0	2	0	1	0	0	0
NEK7	na	1109	962	1428	2909	1684	2682	1802	1488	1488
SH3D19	na	595	579	670	962	934	1029	712	647	541
TTC29	na	0	0	0	1	0	0	1	0	0
FBXL12	na	264	230	315	543	375	505	417	318	320
MIR378J	na	2	4	1	2	0	1	3	0	2
YWHAEP7	na	0	1	0	15	6	6	9	5	5
ARL6	na	215	158	280	261	222	281	335	290	251
MYSM1	na	1254	1259	1273	1666	1691	1672	1520	1373	1118
PRICKLE1	na	6	16	18	1507	967	1397	1068	777	778
ZBED3	na	100	157	88	117	202	78	122	105	61
MMD	na	265	228	349	386	226	316	240	203	182
DNAJC14	na	637	419	767	1178	766	1150	1218	936	970
CMSS1	na	687	519	742	838	487	846	905	789	700
ACBD6	na	1207	984	1274	1728	1128	1612	1598	1301	1176
CCDC115	na	740	572	857	554	365	518	614	451	444
MON1A	na	135	100	173	186	130	205	226	202	188
KCNIP4	na	1	0	0	0	1	2	0	1	0
AGTRAP	na	312	231	357	605	422	572	501	423	398
COL8A1	na	0	0	0	5	2	11	0	0	0
CDC42EP2	na	133	97	181	191	199	244	226	221	165
CUL4B	na	1051	973	1046	1318	1279	1389	1567	1286	1297
SLC17A6	na	1	1	3	0	0	0	1	0	0
USP1	na	3317	2500	3467	5336	3045	4504	4965	3926	3548
C4orf50	na	4	6	2	10	11	13	11	4	5
SALL2	na	272	319	365	338	614	398	479	457	411
LOC100287808	na	0	0	0	0	0	0	0	0	0
PIMREG	na	718	564	946	1657	1108	1675	1285	1081	965
SNORA21B	na	63	67	126	145	76	116	194	115	121
SNORA21	na	269	178	275	304	111	293	231	165	150
MIR6779	na	1	0	1	0	0	0	0	1	1
LINC00672	na	6	4	2	4	4	4	9	1	1
RDM1P5	na	14	17	24	24	24	25	31	32	24
GSK3B	na	854	832	975	1429	1274	1337	1220	997	902
SMYD3	na	172	166	203	288	249	286	302	243	213
IQCF1	na	1	0	0	1	0	0	0	1	0
ERICH6	na	10	10	10	16	30	17	19	17	20
KIF1B	na	1215	1371	1403	2298	2622	2390	2388	1933	1839
SPA17	na	51	36	54	77	55	99	67	61	83
CCZ1	na	546	441	760	970	530	861	812	816	860
ANKEF1	na	139	93	185	0	0	0	0	0	1
FZD2	na	363	319	413	581	403	498	421	366	343
FRZB	na	2	1	1	0	1	1	0	0	0
IQCC	na	124	113	181	185	118	197	216	192	160
LTBP1	na	57	61	91	87	63	71	38	35	25
EXOC1	na	627	489	735	1009	762	1014	605	522	459
MIR4728	na	0	0	5	8	5	3	1	1	1
RNF31	na	741	675	891	1282	1188	1392	1162	1110	849
SNAPC3	na	991	955	1306	1260	1005	1217	1225	987	1039
SLC15A3	na	68	50	85	237	164	231	211	164	145
SPC25	na	52	48	177	67	179	39	52	40	166
GLRX5	na	547	377	676	1067	529	924	1034	848	775
IDI2	na	1	0	0	0	0	0	0	1	0
UPRT	na	87	91	127	145	139	143	186	157	148
FKBP6	na	0	0	0	0	0	0	1	0	0
IRS4	na	2	1	0	0	0	0	1	0	0
REEP6	na	101	68	120	146	140	117	135	104	96
EPHX3	na	4	1	4	5	3	2	6	1	2
NUCKS1	na	12233	9567	12812	24555	16275	21974	23000	18415	16749
ELOVL4	na	433	323	402	1243	679	1244	1241	901	901
LRRC17	na	1	3	3	9	4	5	8	8	6
MIR6884	na	3	4	5	4	6	3	2	1	1
SNORD124	na	1	3	3	8	4	8	7	2	1
VGLL4	na	452	368	555	699	668	706	707	673	538
SERPING1	na	118	138	114	124	192	132	129	101	122
RAPGEFL1	na	159	128	162	252	265	281	285	269	221
TMEM9	na	869	673	1073	1551	1264	1598	1321	1136	981
MIR6867	na	0	1	0	1	2	0	1	0	1
MAFB	na	0	2	0	0	0	0	0	0	0
RARA-AS1	na	37	37	59	67	37	62	112	96	97
PLAAT4	na	33	41	44	99	96	113	135	115	104
CHD9	na	3693	3479	4186	5164	4647	5338	5749	4778	4336
CUL2	na	1202	979	1316	1743	1304	1692	1796	1558	1348
TRIM52	na	214	194	282	294	234	302	325	273	281
DLD	na	2082	1718	2447	3420	2386	3370	3366	2810	2673
PFDN1	na	689	568	812	897	598	846	990	869	743
AKR7A3	na	16	25	19	31	37	23	32	26	28
SLC16A10	na	71	71	82	136	106	152	257	188	191
COMMD3	na	188	168	244	218	111	201	296	261	221
CYP1A1	na	48	45	52	96	50	99	34	29	22
THNSL1	na	142	125	216	222	145	196	276	219	239
RALB	na	705	540	863	1582	1064	1401	1806	1754	1766
KRT42P	na	1	0	0	0	1	0	0	0	0
PCDH7	na	0	0	3	1	2	1	2	5	15
CEACAM8	na	0	0	0	0	0	1	0	0	0
CDK9	na	1082	919	1265	2020	1573	1936	1782	1603	1340
ARMC1	na	728	611	896	1084	675	1044	1157	916	855
NADK2	na	896	761	1082	1345	906	1292	1313	1057	970
APLN	na	13	14	17	7	0	2	17	12	8
ZMYM4	na	2159	1974	2533	2885	2367	2814	2625	1970	1980
SCML2	na	619	527	732	1045	625	946	973	742	754
CYP26A1	na	3	7	8	12	14	13	130	138	108
CCNQ	na	298	254	390	587	335	574	504	369	376
TMEM92	na	3	0	0	7	4	0	4	7	4
MIR548AT	na	0	3	2	0	2	5	2	2	1
MIR5010	na	5	7	6	5	4	13	10	6	7
LOC108783654	na	247	230	301	289	335	314	353	310	306
DGKZ	na	552	518	670	1224	989	1191	1183	1041	829
SHCBP1	na	1893	1539	2231	3510	2476	3178	3154	2463	2287
NBPF14	na	180	189	154	383	360	389	319	338	243
SNX16	na	61	59	71	150	144	153	135	121	93
ATMIN	na	1944	1602	2422	2520	1709	2550	2466	1912	1875
INPP5A	na	632	564	716	1510	1462	1461	1231	1007	970
MIR6780A	na	0	0	0	1	2	0	0	1	0
RAMP2-AS1	na	0	1	1	0	0	0	0	0	0
MYLK3	na	11	8	13	9	6	4	10	5	3
MIR6781	na	1	0	1	2	1	1	4	2	2
TSPYL2	na	446	387	522	470	380	476	403	395	288
AOC4P	na	1	0	0	0	1	1	1	0	0
LINC00671	na	0	0	0	0	0	0	0	0	0
ZCCHC17	na	410	312	493	673	405	683	644	539	513
PTGES3L-AARSD1	na	2	3	0	2	5	3	6	2	3
SGK3	na	2	0	4	8	3	3	10	7	3
MOSPD2	na	165	133	185	208	162	190	156	143	136
NPIPB3	na	7	20	10	24	27	25	14	17	22
NBR2	na	142	166	180	204	208	216	228	148	170
LOC101929767	na	18	8	13	15	16	18	21	19	19
TGM3	na	0	1	0	1	0	0	0	0	1
RLN1	na	0	2	0	0	1	1	1	1	0
DDX52	na	328	245	265	530	229	426	521	351	353
MRPL53	na	246	195	324	470	292	413	547	509	445
SCRN2	na	356	263	366	483	481	499	581	509	429
CCDC200	na	0	0	0	1	0	0	0	0	0
RNU2-1	na	105	91	76	92	51	39	36	18	79
LINC00910	na	9	1	4	12	16	15	14	10	12
BBC3	na	80	66	100	87	76	69	51	46	44
RRNAD1	na	144	95	183	240	250	284	267	213	234
SARS2	na	374	296	461	612	504	664	583	500	407
CERS6	na	1788	1600	2174	1450	1132	1348	2066	1793	1552
GRB2	na	1592	1228	1762	2485	1745	2365	2620	2150	1887
USP50	na	3	3	4	4	2	2	6	2	1
MMP28	na	0	0	1	0	0	1	1	0	0
CCDC154	na	13	4	3	11	15	6	6	8	4
PTHLH	na	1	1	1	4	1	4	2	0	2
TGM2	na	4	4	1	16	13	9	24	25	18
SCN2A	na	8	4	8	7	14	11	1	1	1
VWA5B2	na	19	11	17	16	28	16	10	8	13
PP2D1	na	0	0	1	0	0	1	0	0	0
ATP13A3	na	2892	2559	3211	5273	3461	5273	5162	4228	3799
LINC01976	na	31	21	41	16	19	25	56	54	46
PARN	na	2	10	95	121	9	307	241	9	8
NPFF	na	3	2	5	4	10	8	4	7	3
RBM22	na	806	639	899	1188	714	1066	1254	1017	967
STXBP1	na	197	264	209	241	389	257	213	202	160
ZNF71	na	275	236	291	415	322	383	322	320	251
DPEP3	na	0	0	0	0	0	0	1	0	0
IGBP1	na	416	339	520	485	348	476	501	375	363
TRAF5	na	513	479	596	877	860	969	852	682	679
CNTRL	na	878	753	1187	1158	880	1189	1430	1217	1150
RUNDC3A-AS1	na	111	90	142	177	151	168	158	120	123
RBM12	na	2544	2083	2877	3358	2255	3186	3319	2615	2383
TCAIM	na	370	284	511	472	305	484	501	389	380
GRM1	na	0	1	1	0	2	2	0	2	1
ORC2	na	1211	1049	1403	1699	1068	1694	1709	1438	1366
GRN	na	775	658	983	1268	1517	1559	1042	947	816
FAM153CP	na	0	0	0	0	1	0	0	0	0
MAD2L1BP	na	477	408	653	710	546	679	702	557	472
LINC01180	na	0	0	0	0	1	1	0	0	1
IQCB1	na	704	604	751	1199	812	1244	1197	938	851
TESK1	na	281	241	332	451	398	453	410	362	334
PARS2	na	87	69	118	123	112	133	109	123	89
KXD1	na	882	609	943	1734	1366	1643	1574	1437	1130
NFKB1	na	1068	1018	1427	1367	883	1433	1391	1196	1030
POLR2I	na	762	572	906	1323	852	1229	1310	1219	1004
HSF1	na	594	546	692	914	751	838	795	816	574
MIR6784	na	0	1	0	0	1	1	0	0	0
PCTP	na	223	196	287	322	231	305	360	279	263
GREB1L	na	127	132	167	170	221	143	288	252	207
FAN1	na	66	73	130	126	158	210	137	173	165
LOC105371795	na	56	38	49	65	50	89	68	76	53
LOC339192	na	9	13	30	39	24	36	7	18	13
MAP3K14-AS1	na	38	44	55	54	48	46	38	37	32
RBMX2	na	520	346	538	707	390	654	670	569	521
LRRC37A4P	na	16	15	3	4	15	6	4	7	17
MAPK8IP1P2	na	0	0	0	1	1	2	0	0	1
LINC02210	na	14	17	26	15	6	31	9	9	18
GALR2	na	1	2	1	4	1	4	1	5	2
SLC2A3	na	333	292	466	544	521	513	422	409	431
RRH	na	6	8	2	7	4	4	5	2	4
NIPBL	na	1421	1678	1419	2033	2536	2044	1935	1622	1419
USP8	na	1729	1317	1934	2342	1710	2326	1949	1640	1566
MAPT-IT1	na	0	1	1	0	0	0	2	0	0
CBY3	na	0	3	0	1	0	1	2	0	0
OPRK1	na	6	2	4	2	2	2	0	1	0
HERC3	na	190	161	229	364	284	321	312	258	194
KANSL1-AS1	na	0	0	0	0	2	0	0	0	0
NSFP1	na	5	4	0	5	4	1	5	6	7
KRT15	na	2	3	4	4	7	2	4	9	4
ENTPD7	na	570	541	664	987	857	1006	746	588	606
THCAT158	na	2	1	1	2	1	1	0	1	0
ESYT2	na	932	730	1085	1015	732	1075	1588	1337	1166
PLVAP	na	0	0	0	0	0	0	0	0	0
SCRT1	na	0	0	1	0	0	0	1	0	0
MRPL45P2	na	123	103	142	176	129	157	177	130	169
CYB561	na	863	667	1042	1568	1137	1454	1330	1160	1066
CD52	na	5	1	3	4	4	3	1	7	0
CDH2	na	4	2	1	0	0	0	0	0	1
MTRNR2L8	na	2	2	0	2	2	1	3	1	0
ARHGAP6	na	1	0	3	0	0	0	0	0	0
FMO5	na	47	27	58	77	97	81	69	67	72
NCF2	na	0	0	1	0	0	0	0	1	0
UBE2S	na	2701	2112	3148	2962	1804	2357	3325	3005	2443
LOC102724532	na	24	21	39	58	31	63	59	40	29
SP2-AS1	na	30	32	33	47	55	60	55	36	46
FAF2	na	1848	1568	2256	2863	2103	2794	2782	2351	2132
EIPR1	na	358	300	514	745	543	734	776	686	504
RNF152	na	16	9	16	178	71	113	46	30	43
CD3EAP	na	663	450	744	876	404	801	894	658	631
UCN	na	7	8	11	5	4	14	9	12	9
ZP3	na	39	45	57	68	76	80	71	66	50
HOXB-AS1	na	98	68	103	100	95	109	68	103	79
PGRMC1	na	4419	3319	4999	12861	7111	11407	8005	5971	5438
SLC4A8	na	109	100	123	502	318	366	343	191	243
ATPSCKMT	na	523	473	588	656	573	688	635	536	482
MIR3185	na	0	0	1	1	1	0	1	1	1
TTLL6	na	9	11	5	6	10	6	7	5	5
CAPN8	na	5	2	0	6	3	3	2	4	5
LOC105371814	na	35	14	30	44	20	46	35	32	23
SNX22	na	6	3	11	10	7	7	4	4	3
UBFD1	na	1236	1064	1543	2007	1287	1938	1930	1458	1448
MIR6129	na	0	3	0	2	0	3	0	0	0
LOC102724596	na	8	0	3	2	2	8	7	6	7
LOC100288866	na	0	1	0	2	2	2	0	0	1
USP16	na	1168	803	1260	2291	1189	1937	2380	1771	1576
PHEX	na	5	14	7	18	22	12	20	9	16
GPHN	na	281	384	316	544	668	499	583	513	434
ATP5PF	na	992	798	1238	1718	962	1578	1745	1461	1370
TRPC4	na	0	1	0	0	1	0	1	1	1
PICART1	na	2	0	1	2	2	1	1	1	0
DPH5	na	385	306	476	676	434	762	722	570	567
EZH2	na	3196	2681	4029	1764	1265	1679	3532	3430	3044
RPLP1	na	7263	5370	8035	11463	7665	11527	12188	10301	8839
TMEM92-AS1	na	0	1	0	0	1	0	1	0	0
GABPA	na	730	582	781	1073	686	923	1057	827	736
IRF4	na	0	1	1	1	2	4	3	0	3
RAB9A	na	806	602	1007	1297	732	1174	796	638	620
NXN	na	319	222	285	801	611	781	943	782	691
NPAS1	na	5	4	6	5	7	5	19	5	8
LRBA	na	4480	4525	5171	7463	7214	7402	7050	6108	5333
SELENOW	na	1425	975	1541	2981	1886	3227	3124	2331	2100
RBP1	na	0	0	1	1	0	0	0	0	1
LOC105371824	na	9	6	11	5	19	13	15	16	17
ENTPD4	na	1037	940	1262	1465	1154	1489	1364	1190	1103
SPATA20	na	656	543	699	1137	1043	1110	1079	768	689
CACNA1G-AS1	na	0	1	0	0	0	0	0	0	0
HSPB7	na	3	0	0	10	5	6	6	6	10
SETD3	na	677	591	846	1599	1058	1425	1295	1107	980
XYLT1	na	2	0	1	0	0	0	0	0	0
ZNF700	na	503	517	626	721	644	849	709	511	543
MAPK1IP1L	na	1834	1815	1931	2425	2039	2228	2584	2240	1925
FGF23	na	0	0	0	0	1	0	0	0	0
VN1R1	na	3	6	10	7	7	5	3	2	5
ATP6V0A4	na	4	1	6	3	1	2	5	2	4
TRIM63	na	0	1	2	3	0	2	1	1	0
ZNF347	na	84	38	32	441	309	403	846	577	677
USP32	na	1150	1025	1343	2224	1876	2142	1966	1557	1509
CAMKMT	na	85	86	102	204	146	176	208	154	150
TCEA3	na	2	2	5	4	6	4	3	4	1
RAD51AP1	na	827	581	881	1063	646	985	1188	855	817
RNF141	na	357	318	493	371	251	351	389	306	299
PDCD10	na	760	586	846	1378	894	1337	1378	1135	927
PXYLP1	na	196	141	226	136	119	140	79	88	77
KIF2C	na	2176	1736	2697	2879	2047	2829	2512	2203	1960
MAFG	na	641	608	816	947	769	1012	653	646	543
NLRP11	na	45	20	25	41	15	38	33	29	23
TBCA	na	2157	1541	2398	3303	1807	2871	3137	2406	2223
PPP4C	na	952	797	1102	1701	1311	1713	1703	1488	1322
MIR8059	na	0	0	0	0	0	0	0	0	0
TOB1-AS1	na	22	17	31	33	28	46	40	32	28
RNF14	na	660	499	811	1085	789	1104	1329	1093	1010
PCDHGA2	na	1	4	7	0	0	2	2	0	3
CACNG8	na	55	60	52	85	127	111	81	78	60
ANAPC1	na	3347	2690	3940	3933	2969	3991	3929	3319	3069
LINC02072	na	0	0	0	0	0	0	0	0	0
LINC02073	na	0	0	0	0	0	0	0	1	0
PHLDA1	na	135	95	44	4095	2756	2688	11592	10526	8863
LINC02089	na	0	0	0	0	0	0	0	0	0
BRAF	na	1004	1076	1057	739	732	675	1413	1142	1064
ADCYAP1	na	1	1	0	0	0	0	0	0	0
UBE2L3	na	2045	1565	2465	3243	1829	3010	3128	2724	2354
ZNF280C	na	708	655	832	644	465	584	736	523	472
APBA1	na	1	0	0	1	4	2	0	0	0
MTVR2	na	0	5	1	6	10	9	8	7	2
TP53BP2	na	930	786	1112	1526	1184	1537	1300	1151	997
LOC101927666	na	3	8	4	5	2	4	5	4	5
MSX2P1	na	2	4	6	24	16	25	23	16	10
GPD1	na	11	6	18	11	6	11	6	2	4
CUL3	na	3100	2618	3569	3161	2276	2970	3359	2722	2486
SP100	na	734	637	918	662	458	583	578	459	454
TSR2	na	436	329	605	749	410	717	728	675	615
HID1	na	45	40	40	178	187	178	85	62	35
TSPOAP1-AS1	na	9	11	12	19	7	12	8	7	9
C8orf58	na	345	292	410	495	280	417	350	316	246
TXLNA	na	4116	3329	5065	5932	4226	6187	6087	5551	4999
PCP2	na	3	3	8	9	8	14	5	6	5
DNAJC19	na	468	347	566	719	409	687	778	696	616
LINC02709	na	91	64	109	14	12	11	10	18	12
LINC02774	na	4	6	2	0	0	0	0	0	0
TEX14	na	17	12	12	11	6	12	7	6	5
CLN5	na	295	193	319	325	166	245	343	295	292
POLH	na	606	490	781	865	736	944	1132	862	884
TNS2	na	1082	996	1189	1197	1297	1140	1403	1588	1211
OCEL1	na	43	36	61	85	125	85	90	55	57
